Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
106,88,55,88,Hera,"Cray CS500, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR",NOAA Environmental Security Computer Center,Cray/HPE,United States,2019,Research,"63,840",,"3,080.85","4,884.48","4,012,032",,43.67,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold,Cray CS500,Cray CS,Infiniband,Infiniband HDR,North America,"50,371",179864
107,89,48,34,Camphor 2,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect","Academic Center for Computing and Media Studies (ACCMS), Kyoto University",Cray/HPE,Japan,2016,Academic,"122,400",,"3,057.35","5,483.52","4,579,680",,,748.10,Submitted,4.09,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",Cray Linux Environment,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Asia,"50,516",178927
108,91,53,72,Jean Zay,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path",CNRS/IDRIS-GENCI,HPE,France,2019,Academic,"61,120",,"3,054.35","4,867.20","5,598,720",,52.57,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",RHEL 7.6,Linux,None,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,Europe,"50,403",179699
109,93,45,56,Mistral,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C 2.1Ghz, Infiniband FDR",DKRZ - Deutsches Klimarechenzentrum,Atos,Germany,2015,Research,"99,072",,"3,010.68","3,962.88","4,437,696",,44.11,"1,116.00",Submitted,2.70,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",Bullx Linux,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"47,642",178567
110,94,54,81,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"73,600",,"2,994.04","5,888.00","5,943,552",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179746
111,95,52,423,Tetralith,"Intel H2204XXLRE, Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",National Supercomputer Centre (NSC),ClusterVision / Hammer,Sweden,2018,Academic,"64,512",,"2,969.19","4,335.21","4,160,256",,65.24,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,Intel H2204XXLRE,ClusterVision / Hammer Cluster,Omnipath,Intel Omni-Path,Europe,"48,488",179576
112,96,54,83,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"72,000",,"2,931.84","5,760.00","5,878,656",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179749
113,,56,113,,"Inspur TS10000 HPC Server, Xeon Gold 6248R 24C 3GHz, InfiniBand HDR 100",Central South University,Inspur,China,2020,Academic,"49,056",,"2,889.41","4,709.38","4,680,192",,,,,,Cluster,Xeon Gold 6248R 24C 3GHz,Intel Cascade lake,"3,000",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),Inspur TS10000 HPC Server,Inspur Cluster,Infiniband,InfiniBand HDR 100,Asia,"50,841",179873
114,,56,114,,"ThinkSystem SR650, Xeon Gold 6238 22C 2.1GHz, 10G Ethernet",Financial Services P,Lenovo,China,2020,Industry,"94,160",,"2,867.64","6,327.55","5,233,920",,,,,,Cluster,Xeon Gold 6238 22C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,22,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,855",179887
115,123,55,123,Freeman,"Cray CS500, AMD EPYC 7542 32C 2.9GHz, Mellanox InfiniBand HDR100",ERDC DSRC,HPE,United States,2020,Research,"79,104",,"2,829.00","3,670.43","5,363,200",,,,,,Cluster,AMD EPYC 7542 32C 2.9GHz,AMD Zen-2 (Rome),"2,900",RHEL 7.7,Linux,None,32,AMD Rome,Cray CS500,Cray CS,Infiniband,Mellanox InfiniBand HDR100,North America,"47,771",179843
116,98,45,21,SuperMUC Phase 2,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",Leibniz Rechenzentrum,Lenovo/IBM,Germany,2015,Academic,"86,016",,"2,813.62","3,578.27","4,423,680",,,"1,480.83",Submitted,1.90,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,"2,600",Linux,Linux,None,14,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M5,NeXtScale,Infiniband,Infiniband FDR14,Europe,"48,248",178544
117,99,47,30,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect",United Kingdom Meteorological Office,Cray/HPE,United Kingdom,2016,Research,"89,856",,"2,801.78","3,019.16",,,,"1,347.84",Submitted,2.08,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Europe,"49,064",178751
118,100,47,31,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect",United Kingdom Meteorological Office,Cray/HPE,United Kingdom,2016,Research,"89,856",,"2,801.78","3,019.16",,,,"1,347.84",Submitted,2.08,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Europe,"49,064",178752
119,101,51,61,JFRS-1,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect","Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and Technology",Cray/HPE,Japan,2018,Research,"54,560",,"2,787.14","4,190.21","5,412,096",,,697.51,Submitted,4.00,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Cray Linux Environment,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect,Asia,"50,767",179417
120,102,54,91,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"68,000",,"2,779.84","5,440.00","5,713,152",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179748
121,,56,121,ZZ2,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"67,200",,"2,749.28","5,376.00","4,637,184",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179898
122,103,55,103,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"66,400",,"2,746.30","5,312.00","5,645,568",,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179810
123,104,54,92,,"ThinkSystem SR650, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Government,Lenovo,China,2019,Government,"59,976","48,960","2,744.84","5,354.88","2,423,808",,,,,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,"2,600",Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Infiniband,Infiniband EDR,Asia,"50,774",179742
124,105,53,82,VSC-4,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Vienna Scientific Cluster,Lenovo,Austria,2019,Academic,"37,920",,"2,726.08","3,761.66","3,385,000",,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,"3,100",SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Xeon Platinum,ThinkSystem SD650,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,"50,345",179697
125,106,54,94,SNL/NNSA CTS-1 Attaway,"Tundra Extreme Scale, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",Sandia National Laboratories,Penguin Computing,United States,2019,Research,"52,920",,"2,724.52","3,894.91","4,999,680",,38.80,750.00,Submitted,3.63,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",Linux/TOSS,Linux,None,18,Xeon Gold,Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,748",179777
126,,56,126,ZZ3,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"66,400",,"2,721.33","5,312.00","4,609,536",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179888
127,,56,127,ZZ4,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"65,600",,"2,691.69","5,248.00","4,581,888",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179889
128,107,55,107,Banting,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect",Shared Services Canada,Cray/HPE,Canada,2019,Government,"53,200",,"2,676.74","4,085.76","2,799,744",,,,,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Cray Linux Environment,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect,North America,"50,719",179862
129,108,54,95,Hypercluster,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR",Microsoft Research,Nvidia,United States,2019,Research,"47,808","46,080","2,666.00","4,219.09","1,531,040",,,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,Xeon Platinum,NVIDIA DGX-2,NVIDIA DGX,Infiniband,Mellanox InfiniBand EDR,North America,"50,819",179775
130,,56,130,ZZ5,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"64,800",,"2,661.46","5,184.00","4,553,856",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179890
131,,56,131,ZZ6,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"69,120",,"2,654.04","5,529.60","4,293,120",,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179891
132,109,55,109,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Cloud Company,Lenovo,China,2020,Industry,"128,000",,"2,651.95","4,710.40","8,763,648",,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,16,Xeon Gold,ThinkSystem SR590,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,775",179850
133,,56,133,Grace,"PowerEdge R640/R740/R840, Xeon Gold 6248R/6248R/6248, 24C 3.0GHz, InfiniBand HDR100",Texas A&M University,Dell EMC,United States,2020,Academic,"43,200","1,532","2,638.53","4,829.34","4,450,560",,,,,,Cluster,Xeon Gold 6248R 24C 3GHz,Intel Cascade lake,"3,000",CentOS,Linux,None,24,Xeon Gold 62xx (Cascade Lake),PowerEdge R840,Dell PowerEdge Cluster,Infiniband,Mellanox InfiniBand HDR100,North America,"48,957",179905
134,110,48,42,LLNL/NNSA CTS-1 Jade,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2016,Research,"95,472",,"2,632.51","3,207.86","5,601,024",,,"13,620.00",Submitted,0.19,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Linux/TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,247",178969
135,111,48,43,LLNL CTS-1 Quartz,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2016,Research,"95,472",,"2,632.51","3,207.86","5,601,024",,,"13,620.00",Submitted,0.19,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Linux/TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,247",178971
136,112,54,98,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"64,000",,"2,621.44","5,120.00","5,542,656",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179747
137,113,55,113,,"Inspur TS10000, Xeon Gold 6258R 28C 2.7GHz, InfiniBand HDR100",Tsinghua University,Inspur,China,2020,Academic,"50,400",,"2,610.00","4,354.56","4,298,000",,,,,,Cluster,Xeon Gold 6258R 28C 2.7GHz,Intel Cascade lake,"2,700",Linux,Linux,None,28,Xeon Gold 62xx (Cascade Lake),Inspur TS10000,Inspur Cluster,Infiniband,InfiniBand HDR 100,Asia,"49,774",179827
138,114,55,114,Cedar (CPU),"PowerEdge C6420, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Simon Fraser University/Compute Canada,ACTION,Canada,2020,Academic,"67,584",,"2,607.98","4,895.54","4,320,000",,,792.00,Submitted,3.29,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,"2,400",CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),PowerEdge C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,"50,722",179858
139,115,55,115,Daley,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect",Shared Services Canada,Cray/HPE,Canada,2019,Government,"53,200",,"2,598.28","4,085.76","2,799,744",,,,,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Cray Linux Environment,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect,North America,"50,719",179863
140,,56,140,,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, InfiniBand HDR 100",Deutscher Wetterdienst,NEC,Germany,2020,Research,"14,848",,"2,595.60","4,359.98","2,686,074",,171.00,456.62,Submitted,5.68,Cluster,Vector Engine Type10AE 8C 1.58GHz,NEC Vector Engine,"1,584",VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA A412-8,SX-Aurora TSUBASA,Infiniband,InfiniBand HDR 100,Europe,"47,712",179872
141,116,49,48,HPC3,"Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR, NVIDIA Tesla K80",Energy Company (A),Lenovo,Italy,2017,Industry,"66,000","39,000","2,592.00","3,798.60","3,184,896",,,,,,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,NVIDIA Tesla K80,18,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360 M5,Lenovo NeXtScale,Infiniband,Infiniband EDR,Europe,"49,438",179071
142,117,55,117,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"62,400",,"2,590.84","4,992.00","5,472,768",,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179812
143,118,55,118,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"64,320",,"2,583.09","5,145.60","5,072,256",,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179811
144,119,51,66,Mihir,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect",National Centre for Medium Range Weather Forecasting,Cray/HPE,India,2018,Research,"83,592",,"2,570.40","2,808.69","3,349,440",,,954.73,Submitted,2.69,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Asia,"50,235",179418
145,120,36,1,Tianhe-1A,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050",National Supercomputing Center in Tianjin,NUDT,China,2010,Research,"186,368","100,352","2,566.00","4,701.00","3,600,000","1,000,000",,"4,040.00",Submitted,0.64,MPP,Xeon X5670 6C 2.93GHz,Intel Nehalem,"2,930",Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Asia,"50,310",176929
146,,56,146,Spartan2,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband",Atos,Atos,France,2020,Vendor,"23,040","20,736","2,566.00","3,847.22","981,504",,66.70,105.76,Submitted,24.26,Cluster,AMD EPYC 7402 24C 2.8GHz,AMD Zen-2 (Rome),"2,800",Linux,Linux,NVIDIA A100,24,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR Infiniband,Europe,"50,630",179893
147,121,51,68,PAI-BSystem,"Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100",China Meteorological Administration,Sugon,China,2018,Research,"50,816","2,688","2,547.00","4,229.85","5,498,000",,,710.00,Submitted,3.59,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,"2,600",RHEL 7.3,Linux,NVIDIA Tesla P100,16,Xeon Gold,Sugon TC4600LP,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"47,551",179440
148,122,42,14,cascade,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",DOE/SC/Pacific Northwest National Laboratory,Atipa,United States,2013,Research,"194,616","171,720","2,539.13","3,388.03","4,032,000",,,"1,384.00",Submitted,1.83,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,"2,600",Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Atipa Visione IF442 Blade Server,Atipa Cluster,Infiniband,Infiniband FDR,North America,"48,611",178250
149,124,49,51,occigen2,"bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),Atos,France,2016,Academic,"85,824",,"2,494.65","3,570.28","3,889,152",,45.48,"1,430.00",Submitted,1.74,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,"2,600",bullx SCS,Linux,None,14,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"50,203",179092
150,125,55,125,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"61,440",,"2,487.09","4,915.20","4,957,440",,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179813
151,126,44,20,Excalibur,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect",Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),Cray/HPE,United States,2014,Government,"100,064",,"2,485.00","3,682.36","6,441,408",,,"1,465.78",Submitted,1.70,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Cray Linux Environment,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,North America,"50,423",178447
152,127,53,92,CLAIX (2018),"INTEL-HNS2600BPB, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Universitaet Aachen/RWTH - IT Center,NEC,Germany,2018,Academic,"61,200",,"2,483.58","4,112.64","2,937,600",,,692.05,Submitted,3.59,Cluster,Xeon Platinum 8160 24C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,24,Xeon Platinum,INTEL-HNS2600BPB,NEC Cluster,Omnipath,Intel Omni-Path,Europe,"50,675",179682
153,,56,153,Expanse,"PowerEdge R6525/C6525, AMD EPYC 7742, AMD EPYC 7742 64C, Mellanox HDR Infiniband",UCSD/San Diego Supercomputer Center,Dell EMC,United States,2020,Academic,"91,648","16,640","2,480.60","3,299.33","4,652,592",-1,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",CentOS,Linux,None,64,AMD Rome,PowerEdge R6525,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,North America,"49,020",179904
154,128,55,128,,"Inspur NF5468M5, Xeon Gold 6242 16C 2.8GHz, NVIDIA Tesla V100, 100G Ethernet",Manufacturing Industry (O),Inspur,China,2020,Industry,"50,400","48,000","2,480.00","4,680.00","1,436,000",,,,,,Cluster,Xeon Gold 6242 16C 2.8GHz,Intel Cascade lake,"2,800",Linux,Linux,NVIDIA Tesla V100,16,Xeon Gold 62xx (Cascade Lake),Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,100G Ethernet,Asia,"50,833",179829
155,129,55,129,,"Inspur NF5468M5, Xeon Gold 6242 16C 2.8GHz, NVIDIA Tesla V100, 100G Ethernet",Manufacturing Industry (O),Inspur,China,2020,Industry,"50,400","48,000","2,480.00","4,680.00","1,436,000",,,,,,Cluster,Xeon Gold 6242 16C 2.8GHz,Intel Cascade lake,"2,800",Linux,Linux,NVIDIA Tesla V100,16,Xeon Gold 62xx (Cascade Lake),Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,100G Ethernet,Asia,"50,833",179830
156,130,43,130,Lomonosov 2,"T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz,Intel Xeon Gold 6126, Infiniband FDR, Nvidia K40m/P-100",Moscow State University - Research Computing Center,T-Platforms,Russia,2014,Academic,"64,384","40,960","2,478.00","4,946.79","1,462,272",,,,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,"2,600",Linux,Linux,NVIDIA Tesla K40m,14,Intel Xeon E5 (Haswell),T-Platforms A-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband FDR,Europe,"50,104",178444
157,131,53,94,B1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"60,000",,"2,462.40","4,800.00","5,366,400",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179658
158,132,49,53,Centennial,"SGI ICE XA, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR",US Army Research Laboratory (ARL),HPE,United States,2017,Research,"73,920",,"2,443.70","2,601.98","5,127,360",,,835.00,Submitted,2.93,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,"2,200",RHEL 7.2,Linux,None,20,Intel Xeon E5 (Broadwell),SGI ICE XA,SGI ICE,Infiniband,Infiniband EDR,North America,"49,039",179105
159,133,51,74,PAI-ASystem,"Sugon TC4600, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR",China Meteorological Administration,Sugon,China,2017,Research,"48,128",,"2,435.00","4,004.25","5,572,000",,,740.00,Submitted,3.29,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,"2,600",Linux,Linux,None,16,Xeon Gold,Sugon TC4600,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"47,551",179425
160,134,53,97,C1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"59,200",,"2,433.83","4,736.00","5,330,688",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179657
161,135,55,135,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",DJIT Company,Lenovo,China,2020,Industry,"115,200",,"2,429.15","4,239.36","8,313,984",,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,16,Xeon Gold,ThinkSystem SR590,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,787",179820
